interest_segment,users,booked_first_shift,booking_cr,share_of_all
Есть признаки интереса к подработке,15562,2004,0.12877522169386968,0.6144188250157928
Нет признаков интереса к подработке,9766,366,0.03747696088470203,0.3855811749842072
