interest_signal_group,users,booked,booking_cr,avg_quantity_responses,share_of_all
0. Нет сигналов,9766,366,0.03747696088470203,0.23889002662297767,0.3855811749842072
1. Только отклик на вакансии типа подработки,8875,1038,0.11695774647887323,20.97983098591549,0.35040271636133924
2. Только подработка в резюме,123,5,0.04065040650406504,1.3495934959349594,0.004856285533796589
3. Только свободный график в резюме,116,3,0.02586206896551724,1.7844827586206897,0.00457991156032849
4. Подработка и свободный график в резюме,299,11,0.03678929765886288,0.6488294314381271,0.01180511686670878
5. Отклик на подработку плюс другие сигналы,6149,947,0.15400878191575865,35.12343470483005,0.2427747946936197
