variant,warm_users,cold_users,warm_cr,cold_cr,diff_pp,p_value
Основной расчет,15562,9766,0.12877522169386968,0.03747696088470203,9.129826080916764,2.922698172292154e-130
Без полных дублей,15562,7311,0.12877522169386968,0.050061551087402546,7.871367060646714,3.862203105258206e-74
