interest_segment,users,avg_quantity_responses,median_quantity_responses,booking_cr
Есть признаки интереса к подработке,15562,25.87951420125948,10.0,0.12877522169386968
Нет признаков интереса к подработке,9766,0.23889002662297767,0.0,0.03747696088470203
